,code,state,latitude,longitude
0,MO,Minor Outlying Islands,28.2075,-177.35
1,MP,Northern Mariana Islands,15.19,145.75
2,GU,Guam,13.444304,144.793732
3,VI,U.S. Virgin Islands,18.036736,-64.801704
4,AS,American Samoa,-14.275632,-170.702042
5,AK,Alaska,63.588753,-154.493062
6,AL,Alabama,32.318231,-86.902298
7,AR,Arkansas,35.20105,-91.831833
8,AZ,Arizona,34.048928,-111.093731
9,CA,California,36.778261,-119.417932
10,CO,Colorado,39.550051,-105.782067
11,CT,Connecticut,41.603221,-73.087749
12,DC,District of Columbia,38.905985,-77.033418
13,DE,Delaware,38.910832,-75.52767
14,FL,Florida,27.664827,-81.515754
15,GA,Georgia,32.157435,-82.907123
16,HI,Hawaii,19.898682,-155.665857
17,IA,Iowa,41.878003,-93.097702
18,ID,Idaho,44.068202,-114.742041
19,IL,Illinois,40.633125,-89.398528
20,IN,Indiana,40.551217,-85.602364
21,KS,Kansas,39.011902,-98.484246
22,KY,Kentucky,37.839333,-84.270018
23,LA,Louisiana,31.244823,-92.145024
24,MA,Massachusetts,42.407211,-71.382437
25,MD,Maryland,39.045755,-76.641271
26,ME,Maine,45.253783,-69.445469
27,MI,Michigan,44.314844,-85.602364
28,MN,Minnesota,46.729553,-94.6859
29,MO,Missouri,37.964253,-91.831833
30,MS,Mississippi,32.354668,-89.398528
31,MT,Montana,46.879682,-110.362566
32,NC,North Carolina,35.759573,-79.0193
33,ND,North Dakota,47.551493,-101.002012
34,NE,Nebraska,41.492537,-99.901813
35,NH,New Hampshire,43.193852,-71.572395
36,NJ,New Jersey,40.058324,-74.405661
37,NM,New Mexico,34.97273,-105.032363
38,NV,Nevada,38.80261,-116.419389
39,NY,New York,43.299428,-74.217933
40,OH,Ohio,40.417287,-82.907123
41,OK,Oklahoma,35.007752,-97.092877
42,OR,Oregon,43.804133,-120.554201
43,PA,Pennsylvania,41.203322,-77.194525
44,PR,Puerto Rico,18.220833,-66.590149
45,RI,Rhode Island,41.580095,-71.477429
46,SC,South Carolina,33.836081,-81.163725
47,SD,South Dakota,43.969515,-99.901813
48,TN,Tennessee,35.517491,-86.580447
49,TX,Texas,31.968599,-99.901813
50,UT,Utah,39.32098,-111.093731
51,VA,Virginia,37.431573,-78.656894
52,VT,Vermont,44.558803,-72.577841
53,WA,Washington,47.751074,-120.740139
54,WI,Wisconsin,43.78444,-88.787868
55,WV,West Virginia,38.597626,-80.454903
56,WY,Wyoming,43.075968,-107.290284
